Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
opel astra 2 0 cdti sport start stop,8990,opel,diesel,225122,1956,165,compact,manual,2012
bmw 216 active tourer,14990,bmw,diesel,216796,1496,116,minivan,manual,2016
peugeot 2008 1 5 bluehdi allure,25750,peugeot,diesel,27000,1499,102,suv,manual,2020
bmw m2 competition auto,74000,bmw,gaz,19450,2979,410,coupe,automatic,2019
bmw 435 i xdrive pack m auto,38900,bmw,gaz,155000,2979,306,coupe,automatic,2014
vw scirocco 2 0 tdi sport,14600,vw,diesel,249000,1968,140,coupe,manual,2012
peugeot 508 rxh 2 0 hdi hybrid4 2tronic,14500,peugeot,hibride-diesel,187000,1997,200,combi,automatic,2013
skoda octavia break 1 6 tdi style,15490,skoda,diesel,133000,1598,110,combi,manual,2016
nissan qashqai 1 5 dci 360,13990,nissan,diesel,246619,1461,110,suv,manual,2015
bmw 520 d auto,18800,bmw,diesel,267500,1995,184,sedan,automatic,2010
renault grand scnic 1 5 dci bose edition ss,10499,renault,diesel,212000,1461,110,minivan,manual,2014
audi tt coup 1 8 t,9990,audi,gaz,119000,1781,180,cabrio,manual,2002
dacia duster 1 5 blue dci prestige,25900,dacia,diesel,24487,1461,116,suv,manual,2021
citron c5 tourer 1 6 hdi vtr,6500,citroen,diesel,208000,1560,110,sedan,manual,2008
bmw 520 d auto,13690,bmw,diesel,287351,1995,184,combi,automatic,2011
mercedesbenz a 180 d style aut,34490,mercedes-benz,diesel,20515,1950,116,compact,automatic,2021
ford fiesta 1 0 ecoboost mhev stline,19990,ford,gaz,20500,998,125,city-car,manual,2021
bmw x6 m competition,169500,bmw,gaz,7000,4395,625,suv,automatic,2020
renault captur 1 5 dci exclusive xmod edc,21490,renault,diesel,43618,1461,90,combi,automatic,2019
opel mokka 1 2 t elegance,25290,opel,gaz,5,1199,100,suv,manual,2022
peugeot 3008 2 0 hdi hybrid4 90g,13990,peugeot,hibride-diesel,146000,1997,200,suv,automatic,2015
bmw 118 d,16990,bmw,diesel,129000,1995,143,coupe,manual,2013
bmw 218 i line sport auto,46900,bmw,gaz,18000,1998,136,coupe,automatic,2021
